epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1
1,0.5490171097630832,0.8065326633165829,0.7901907356948229,0.6215154528617859,0.7325581395348837,0.7294117647058823
2,0.41684333358577746,0.8844221105527639,0.8516129032258065,0.5147436261177063,0.8372093023255814,0.7999999999999999
3,0.35465923415955586,0.8994974874371859,0.8639455782312926,0.44543737173080444,0.8255813953488372,0.7692307692307692
4,0.326001871845231,0.8944723618090452,0.853146853146853,0.4099808633327484,0.8372093023255814,0.75
5,0.29642971196965356,0.9045226130653267,0.8671328671328672,0.3877731263637543,0.8255813953488372,0.7272727272727273
6,0.29168158732167443,0.9120603015075377,0.879725085910653,0.3752562999725342,0.872093023255814,0.8135593220338982
7,0.2689871745343184,0.9195979899497487,0.8896551724137931,0.3541129529476166,0.872093023255814,0.8135593220338982
8,0.25354042439604524,0.9195979899497487,0.8896551724137931,0.34476354718208313,0.872093023255814,0.8135593220338982
9,0.2468276536045362,0.9195979899497487,0.8896551724137931,0.3375617265701294,0.8837209302325582,0.8333333333333334
10,0.2424814760235686,0.9221105527638191,0.8927335640138409,0.32497841119766235,0.872093023255814,0.8070175438596492
11,0.23240813732746257,0.9221105527638191,0.8941979522184301,0.31904536485671997,0.8953488372093024,0.847457627118644
12,0.23052793119720477,0.9271356783919598,0.9003436426116838,0.3130699098110199,0.8837209302325582,0.8275862068965517
13,0.23174568022315825,0.9195979899497487,0.891156462585034,0.3080212473869324,0.8372093023255814,0.787878787878788
14,0.2027295800908726,0.9195979899497487,0.891156462585034,0.3110899031162262,0.872093023255814,0.8196721311475409
15,0.22067479186471384,0.9296482412060302,0.9027777777777779,0.3019927144050598,0.8837209302325582,0.8214285714285714
16,0.20288788238961494,0.9296482412060302,0.9027777777777779,0.30082905292510986,0.8837209302325582,0.8214285714285714
17,0.2083222398805858,0.9246231155778895,0.8972602739726027,0.2864217460155487,0.872093023255814,0.8196721311475409
18,0.19795574936734972,0.9195979899497487,0.891156462585034,0.291281133890152,0.8837209302325582,0.8387096774193549
19,0.19935076021069859,0.9271356783919598,0.9003436426116838,0.2951320707798004,0.872093023255814,0.8070175438596492
20,0.2041548760093037,0.9271356783919598,0.8996539792387545,0.287251740694046,0.8837209302325582,0.8214285714285714
21,0.21647093643495185,0.9271356783919598,0.901023890784983,0.27809998393058777,0.872093023255814,0.8196721311475409
22,0.20272928581165908,0.9221105527638191,0.8934707903780069,0.3017669916152954,0.872093023255814,0.8070175438596492
23,0.19365897265510942,0.9321608040201005,0.9052631578947368,0.292504221200943,0.8837209302325582,0.8214285714285714
24,0.1961517890344313,0.9246231155778895,0.8972602739726027,0.27515703439712524,0.8953488372093024,0.847457627118644
25,0.1834817276378373,0.9246231155778895,0.8972602739726027,0.27737078070640564,0.8953488372093024,0.847457627118644
26,0.2019177233453971,0.9296482412060302,0.9041095890410958,0.2685006558895111,0.8953488372093024,0.8421052631578947
27,0.1929756655690059,0.9296482412060302,0.9041095890410958,0.2702256739139557,0.8837209302325582,0.8275862068965517
28,0.19271451953667493,0.9296482412060302,0.9041095890410958,0.2669162452220917,0.8953488372093024,0.8421052631578947
29,0.19655231390167122,0.9346733668341709,0.9090909090909092,0.29266953468322754,0.872093023255814,0.8
30,0.19655529248654544,0.9346733668341709,0.9090909090909092,0.28292036056518555,0.8837209302325582,0.8214285714285714
31,0.20492717024668977,0.9296482412060302,0.9041095890410958,0.2630881369113922,0.8953488372093024,0.8421052631578947
32,0.18306177663593437,0.9296482412060302,0.903448275862069,0.26961755752563477,0.8953488372093024,0.847457627118644
33,0.18252597210095756,0.9346733668341709,0.908450704225352,0.28563034534454346,0.8837209302325582,0.8214285714285714
34,0.18648627392910233,0.9271356783919598,0.8996539792387545,0.26003575325012207,0.8953488372093024,0.8421052631578947
35,0.17090309478679494,0.9296482412060302,0.903448275862069,0.261356383562088,0.9069767441860465,0.8620689655172413
36,0.1742856469211267,0.9321608040201005,0.9059233449477351,0.26287394762039185,0.8953488372093024,0.8421052631578947
37,0.1740000340057977,0.9321608040201005,0.9072164948453608,0.25329968333244324,0.8953488372093024,0.8421052631578947
38,0.17447798145027016,0.9321608040201005,0.9078498293515358,0.25200968980789185,0.8953488372093024,0.847457627118644
39,0.18015855517069898,0.9346733668341709,0.9097222222222222,0.25964897871017456,0.8953488372093024,0.8421052631578947
40,0.18310726465816474,0.9346733668341709,0.9097222222222222,0.2579696476459503,0.8953488372093024,0.8421052631578947
41,0.18187534771672445,0.9346733668341709,0.9090909090909092,0.26746535301208496,0.8837209302325582,0.8214285714285714
42,0.17328588117906196,0.9346733668341709,0.9090909090909092,0.25492918491363525,0.8953488372093024,0.8421052631578947
43,0.1805778199703849,0.9321608040201005,0.9078498293515358,0.24474601447582245,0.9069767441860465,0.8620689655172413
44,0.18261133351517683,0.9296482412060302,0.9041095890410958,0.2465764433145523,0.9069767441860465,0.8620689655172413
45,0.1704905971734967,0.9346733668341709,0.9097222222222222,0.2538418769836426,0.8953488372093024,0.8421052631578947
46,0.16354561421140354,0.9346733668341709,0.9097222222222222,0.2508707344532013,0.9069767441860465,0.8620689655172413
47,0.15771784098004576,0.9321608040201005,0.9065743944636678,0.2456480711698532,0.9069767441860465,0.8620689655172413
48,0.1928594314572799,0.9371859296482412,0.9140893470790379,0.24081844091415405,0.8953488372093024,0.8421052631578947
49,0.1882665196255823,0.9371859296482412,0.9140893470790379,0.24445553123950958,0.8953488372093024,0.847457627118644
50,0.17557850075726533,0.9371859296482412,0.911032028469751,0.2764042615890503,0.872093023255814,0.8
51,0.18487693391852641,0.9396984924623115,0.9172413793103449,0.23601889610290527,0.9069767441860465,0.8620689655172413
52,0.15116054598410525,0.9371859296482412,0.9128919860627178,0.24366016685962677,0.9069767441860465,0.8620689655172413
53,0.1777379607135926,0.9396984924623115,0.9172413793103449,0.23098282516002655,0.9069767441860465,0.8620689655172413
54,0.15840910547342732,0.9371859296482412,0.9146757679180887,0.23373140394687653,0.9186046511627907,0.8813559322033898
55,0.17684873515487315,0.9371859296482412,0.9122807017543859,0.23634016513824463,0.8953488372093024,0.8421052631578947
56,0.19161959464226536,0.9422110552763819,0.9225589225589227,0.2276991903781891,0.9302325581395349,0.8999999999999999
57,0.15200209100941317,0.9447236180904522,0.9246575342465754,0.22919224202632904,0.9186046511627907,0.8813559322033898
