epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1
1,0.7256421973956889,0.37185929648241206,0.5404411764705882,0.6930919289588928,0.37209302325581395,0.5423728813559322
2,0.625260608879166,0.8592964824120602,0.8362573099415206,0.5855869054794312,0.813953488372093,0.8
3,0.5171065653987865,0.9422110552763819,0.9240924092409241,0.45509710907936096,0.9186046511627907,0.8985507246376812
4,0.42602038368507844,0.9597989949748744,0.9459459459459459,0.35279107093811035,0.9651162790697675,0.9523809523809523
5,0.3204032943476385,0.9698492462311558,0.9597315436241611,0.27460992336273193,0.9767441860465116,0.96875
6,0.2483530201804099,0.9723618090452262,0.9621993127147767,0.2152283489704132,0.9534883720930233,0.9354838709677419
7,0.19814480369414517,0.9723618090452262,0.9624573378839592,0.1743713766336441,0.9767441860465116,0.96875
8,0.15554432428661902,0.9773869346733668,0.9692832764505119,0.1429734081029892,0.9767441860465116,0.96875
9,0.13977443059934444,0.9798994974874372,0.9727891156462585,0.12137987464666367,0.9767441860465116,0.96875
10,0.11577389011131459,0.9824120603015075,0.9761092150170648,0.10450742393732071,0.9767441860465116,0.96875
11,0.09972986245724424,0.9773869346733668,0.9694915254237287,0.09614905714988708,0.9767441860465116,0.96875
12,0.07788104988896667,0.9849246231155779,0.9794520547945206,0.08909434825181961,0.9883720930232558,0.9841269841269841
13,0.10257142228097772,0.9874371859296482,0.9828178694158076,0.08418801426887512,0.9767441860465116,0.967741935483871
14,0.08246050024377041,0.9874371859296482,0.9828178694158076,0.07652324438095093,0.9883720930232558,0.9841269841269841
15,0.08162904845260495,0.9824120603015075,0.9761092150170648,0.07073896378278732,0.9767441860465116,0.96875
16,0.08581497619424633,0.9824120603015075,0.9761092150170648,0.07051409035921097,0.9767441860465116,0.96875
17,0.07670758137638545,0.9849246231155779,0.9793103448275862,0.07808580249547958,0.9767441860465116,0.967741935483871
18,0.07490194922116533,0.9899497487437185,0.9863013698630138,0.07699470967054367,0.9767441860465116,0.967741935483871
19,0.06881572980078021,0.9849246231155779,0.9793103448275862,0.09172403812408447,0.9651162790697675,0.9508196721311475
20,0.09640509848618627,0.9899497487437185,0.9863013698630138,0.06270425021648407,0.9883720930232558,0.9841269841269841
21,0.0705320374132251,0.9874371859296482,0.9828178694158076,0.07153315842151642,0.9883720930232558,0.9841269841269841
22,0.07029679580474618,0.9874371859296482,0.9828178694158076,0.08014638721942902,0.9651162790697675,0.9508196721311475
23,0.10123456153438319,0.9849246231155779,0.9793103448275862,0.10278084129095078,0.9651162790697675,0.9508196721311475
24,0.08126410023875572,0.992462311557789,0.9897610921501706,0.07920977473258972,0.9767441860465116,0.967741935483871
25,0.09660536442981593,0.9899497487437185,0.9863945578231292,0.07383890450000763,0.9883720930232558,0.9841269841269841
26,0.05428292391700062,0.9899497487437185,0.9863013698630138,0.06691576540470123,0.9883720930232558,0.9841269841269841
27,0.09637375907906935,0.9899497487437185,0.9863013698630138,0.06790904700756073,0.9767441860465116,0.967741935483871
28,0.09531538944747579,0.9949748743718593,0.9931972789115647,0.0731743723154068,0.9767441860465116,0.967741935483871
29,0.08580194398685916,0.992462311557789,0.9898305084745763,0.06698054075241089,0.9883720930232558,0.9841269841269841
30,0.07561121903004209,0.9874371859296482,0.9829351535836178,0.07692468911409378,0.9767441860465116,0.967741935483871
31,0.061756249648242736,0.9899497487437185,0.9863013698630138,0.08214528858661652,0.9767441860465116,0.967741935483871
32,0.07303475517423907,0.9949748743718593,0.9931972789115647,0.08251523226499557,0.9651162790697675,0.9508196721311475
33,0.08267990421110662,0.992462311557789,0.9898305084745763,0.08124227076768875,0.9767441860465116,0.967741935483871
34,0.05345856858857313,0.9949748743718593,0.9931972789115647,0.08639281988143921,0.9767441860465116,0.967741935483871
35,0.0682850652304127,0.9974874371859297,0.9966101694915254,0.10711056739091873,0.9651162790697675,0.9508196721311475
36,0.0650883226388663,0.992462311557789,0.9897610921501706,0.08631529659032822,0.9651162790697675,0.9508196721311475
37,0.0679114663355689,0.9949748743718593,0.9931972789115647,0.09247136861085892,0.9767441860465116,0.967741935483871
38,0.07448374407000877,0.9949748743718593,0.9931972789115647,0.09583484381437302,0.9767441860465116,0.967741935483871
39,0.07332722176259486,0.992462311557789,0.9898305084745763,0.08120672404766083,0.9767441860465116,0.967741935483871
40,0.05169630406340163,0.992462311557789,0.9898305084745763,0.0805569663643837,0.9651162790697675,0.9508196721311475
41,0.07958458562442405,0.992462311557789,0.9897610921501706,0.08331022411584854,0.9651162790697675,0.9508196721311475
42,0.04346836088740047,0.9949748743718593,0.9931972789115647,0.08791209012269974,0.9651162790697675,0.9508196721311475
43,0.05393697444031287,0.9949748743718593,0.9931972789115647,0.07815481722354889,0.9651162790697675,0.9508196721311475
44,0.06017591003047761,0.9949748743718593,0.9931972789115647,0.07933437824249268,0.9651162790697675,0.9508196721311475
45,0.0541878001876737,0.9974874371859297,0.9966101694915254,0.08901479095220566,0.9651162790697675,0.9508196721311475
46,0.040392085778803086,1.0,1.0,0.08626308292150497,0.9651162790697675,0.9508196721311475
47,0.10741611581351888,1.0,1.0,0.0854412391781807,0.9651162790697675,0.9508196721311475
48,0.10226936743187545,0.992462311557789,0.9897610921501706,0.13404706120491028,0.9651162790697675,0.9508196721311475
49,0.05249296701583431,0.992462311557789,0.9897610921501706,0.12019631266593933,0.9651162790697675,0.9508196721311475
50,0.04168734712591722,0.9974874371859297,0.9966329966329966,0.11489517986774445,0.9651162790697675,0.9508196721311475
