epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1
1,0.6228076572993293,0.9170854271356784,0.8918032786885246,0.5608383417129517,0.8953488372093024,0.8656716417910447
2,0.4787140106735517,0.9296482412060302,0.9047619047619049,0.45305517315864563,0.9302325581395349,0.9032258064516129
3,0.3708680591092038,0.9371859296482412,0.9140893470790379,0.37061840295791626,0.9302325581395349,0.9032258064516129
4,0.2903862590316552,0.9346733668341709,0.9109589041095891,0.30692511796951294,0.9302325581395349,0.9032258064516129
5,0.23250930363209404,0.9371859296482412,0.9146757679180887,0.2577594518661499,0.9302325581395349,0.9032258064516129
6,0.19310432118387078,0.9447236180904522,0.9246575342465754,0.2201479822397232,0.9534883720930233,0.9333333333333333
7,0.1647702970696454,0.949748743718593,0.9319727891156463,0.19296005368232727,0.9534883720930233,0.9333333333333333
8,0.14492003589718785,0.957286432160804,0.9419795221843003,0.16971255838871002,0.9651162790697675,0.9508196721311475
9,0.12899402514025193,0.9673366834170855,0.9556313993174061,0.15435615181922913,0.9767441860465116,0.967741935483871
10,0.1173714756516356,0.9673366834170855,0.9556313993174061,0.14163675904273987,0.9767441860465116,0.967741935483871
11,0.10837249888397342,0.9723618090452262,0.9627118644067796,0.13065336644649506,0.9767441860465116,0.967741935483871
12,0.10113723407588412,0.9798994974874372,0.972972972972973,0.12148616462945938,0.9767441860465116,0.967741935483871
13,0.09524587290969926,0.9798994974874372,0.972972972972973,0.11452502757310867,0.9767441860465116,0.967741935483871
14,0.09019289847145129,0.9824120603015075,0.976271186440678,0.10840867459774017,0.9767441860465116,0.967741935483871
15,0.08600829882388139,0.9849246231155779,0.979591836734694,0.10373517870903015,0.9883720930232558,0.9841269841269841
16,0.08253766830317938,0.9849246231155779,0.979591836734694,0.09922177344560623,0.9883720930232558,0.9841269841269841
17,0.07960279993525701,0.9849246231155779,0.979591836734694,0.09512805938720703,0.9883720930232558,0.9841269841269841
18,0.07661553534992675,0.9849246231155779,0.979591836734694,0.09215621650218964,0.9883720930232558,0.9841269841269841
19,0.07411308092388076,0.9849246231155779,0.979591836734694,0.08934790641069412,0.9883720930232558,0.9841269841269841
20,0.07191196690552198,0.9849246231155779,0.979591836734694,0.08678919076919556,0.9883720930232558,0.9841269841269841
21,0.06982041525668535,0.9849246231155779,0.979591836734694,0.08443191647529602,0.9883720930232558,0.9841269841269841
22,0.06802075296340876,0.9849246231155779,0.979591836734694,0.0824485793709755,0.9883720930232558,0.9841269841269841
